,asin,l2_category
493,3c1d473b51eeef11cc43f11fda5169d7,pet care
494,f13b949d1a7962b2f84fa72a6de38589,house
495,36d60a402da9bc13c92b878e4789bcf3,wellness
496,bb6a39df3bfbd140506e7aee2d75c842,beauty
497,639ab0178338c03d5b1def8f780b82d2,house
498,c5201e58daea92b32dde96c333420704,pet care
499,bf21ebe9e95d378d06aba1d8204d66db,pet care
500,9730e4878a861e4ae11a93d888739e5b,house
501,cc26bea555d906da54638c8708d56548,garden
502,3446b726902b8372e73daec7bbeea64f,beauty
503,04e51735f5ebd1aa9bc85dd1c7c96852,garden
504,5f4da0db0d845bf510a60070fa42d8f9,wellness
505,3dda4e4e1dd13c001c540c86950b0c52,pet care
506,79571bdba7e927181fa7c2615008a361,wellness
507,48018343acecd67b73ef00fbae0265e5,pet care
