,asin,date,Unnamed: 0,sales_rank,rating,ad_cost_eur,item_promotion_discount,forecasted_sales_rank,MAPE
40,20fb5ec7d0d7eaa7a0b8c72767f429bf,2021-12-01,15703.5,19839,4.1,6.2678242424242425,0.4590909090909091,32136.999999999993,61.989011542920466
41,2136c1693be812f9c8237d84a41ddb59,2020-12-01,15818.0,4473194,,0.0,0.0,3687403.3636363633,17.566656763905986
42,214a14d712a1efb1c65a2decb880603d,2021-12-01,16185.0,139854,3.9,0.0,0.0,122389.69565217392,12.487525811078754
43,217156263ca5af5ec3038d66803d3812,2021-12-01,16626.5,46664,4.044158163265306,0.8040428571428571,0.17142857142857143,67412.9230769231,44.46451885162675
44,237ea0fad625cf1730ba838469f4f754,2021-02-01,16759.5,3700655,,0.0,0.0,2638620.3076923084,28.698559911899153
45,2451abc8c9fa9dcfb4344129545d4320,2021-12-01,17235.5,9220,4.341104734576758,0.0,3.3075609756097557,29052.428571428572,215.1022621629997
46,24d0f88d604936b1d234e08d4391c61a,2021-12-01,18297.0,2497,4.4,2.9023263157894736,0.24561403508771928,5042.999999999999,101.9623548257909
47,25399752ec286dcfdbf0ccfec8408e22,2021-12-01,18561.5,30462,4.396742957746479,46.782050000000005,1.8982142857142856,45037.47966604261,47.84807191268665
48,2584eec728082e6571be25966839524c,2021-12-01,19053.5,35961,4.1,0.18302142857142853,0.04642857142857143,170616.17391304346,374.44780154345943
49,259639879c8e98a584523de1def104bd,2021-12-01,19352.0,144494,4.1,0.1236705882352941,0.0,87172.25000000001,39.67067836726784
50,266bdc1fa179de8026f3e658eae745ef,2021-12-01,19753.0,54977,3.793003273322422,2.5133744680851065,0.13617021276595745,51881.874999999985,5.6298543027084325
51,26f4b0533939e974949c36e48bbf3c0a,2021-12-01,19818.5,278881,,0.0,0.0,240361.9333333333,13.812008228121208
52,28798eed019851a7f5137cf4abadf089,2021-12-01,19992.0,51045,4.263725490196078,9.378925490196078,0.5,178801.41666666672,250.28194077121503
53,28ac0773ce597664e6560c9db6ab8cba,2021-12-01,20147.5,263491,2.9,0.0,0.0,174735.61538461543,33.684408429655875
54,29a6a8af2796621992359ff1d666550b,2020-06-01,20194.0,2422608,,0.0,0.0,1884746.5999999996,22.201751170639263
55,2a1ec62fc549ca0d1ee098f1b9bf9831,2021-12-01,20483.5,47714,4.451023391812866,6.1397055555555555,0.2361111111111111,51430.31434362668,7.788729395201988
56,2aef648881b4e4fe34eb7500201c16f5,2021-12-01,20655.0,88557,3.4,0.0,0.0,19198.0,78.32130718068588
57,2af8da68768a970fd8d4391091ddf312,2021-12-01,20992.0,160648,3.8185616076150186,0.19356774193548387,0.0,104478.29999999999,34.96445645137195
58,2c6c880a5a986610829265be8dec10ff,2021-05-01,21668.5,73264,3.7999999999999994,0.026158333333333336,0.19999999999999998,40604.250000000015,44.578169360122274
59,2c8806421618d2346fa94dfdf081a6b4,2021-12-01,22167.5,47771,3.7,3.070866666666667,0.20952380952380953,45945.18181818181,3.8220221092675284
60,2cc4e66d546be10a94a374f9f4f924ca,2021-12-01,22886.5,2801,3.8557291666666664,9.1587625,1.7502083333333334,6574.103252858529,134.70557846692358
61,2cde92128b051698357da336a6e24dba,2021-02-01,23026.5,1662213,,0.0,0.0,1395006.7692307697,16.075330343898784
62,2d3ea42ad851090b4892e7f89e39062d,2021-10-01,23263.0,203073,4.4,0.0,0.0,199892.34999999998,1.5662594239510046
63,2dbd99532212cd6c4dec31cf2d6228bd,2021-12-01,23426.0,40396,3.5516260162601627,2.24270243902439,0.12195121951219512,25212.004433062255,37.587869014104726
64,2e3635361da6efcc8886b048b48d6095,2020-05-01,23467.0,943162,,0.0,0.0,719303.0,23.734946912619463
67,3156fd837fa2a771dd1e116717bfb288,2020-06-01,23583.5,1128421,,0.0,0.0,1371006.9999999998,21.49782749523447
68,3305c60753f139fd323e50fb8f445a4d,2021-12-01,24329.0,17085,3.5291429924242426,4.2255939393939395,0.16363636363636364,14615.93750000001,14.451638864500971
