,asin,sales_rank,predicted_sales_rank,MAPE,rating,ad_cost_eur,item_promotion_discount,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2020,year_2021
0,018cd764d4b819f3ab1bbfd3562796f0,66864,63054.3,5.697684852835602,0.2709035430231799,0.20716569698009762,0.01421339787815088,0.09217104488647562,0.009147829206029332,0.01999220674214724,0.013497775515677966,0.005392190851652319,0.0023108166228460445,0.015407421666959499,0.12914892893959842,0.00962610451613203,0.03976758226869391,0.06190141753493569,0.004982793656054542,0.05828213054577731,0.046089119165591705
1,0245e67a746d2bf134c15331fe42c109,94340,108736.11,15.259815560737758,0.20505967225415994,0.32327811905173554,0.07900004473220856,0.050586479759656376,0.06250967978528343,0.005717803017153506,0.04098983346880275,0.12531578522987316,0.006017997036231585,0.018978175717189773,0.03059267505122184,0.011878562372446244,0.0070797104233564,0.0018538175037245666,0.0033183296923456717,0.015924398512812826,0.011898916391797692
2,02ffd26ebce197557ba930151e94a4da,154635,318847.83,106.19383063342711,0.7798380829088026,0.2096963263308885,0.006827207114591743,9.323448473947895e-08,4.2292058917756607e-05,0.001758633648547398,3.6969371751337435e-06,7.358810519108622e-05,4.4441114639415626e-05,3.740293177053019e-05,4.486662648238875e-05,0.0008691940668319812,0.00012017179904813977,0.00023442011000753273,9.852191710870927e-07,0.00020678384765062256,0.0002018139457993073
3,0372f815d983c2cf73fb108a7c0f446b,88566,76190.67,13.97300318406612,0.4094847414416042,0.13215524847445487,0.35492377211694487,0.00033520096806441066,0.0001025750102040468,0.008861025997571144,0.0005387832035047414,0.0030735758528421097,0.0028115462332208214,0.0054163518778776705,0.0013348994997401619,0.004504192860190604,0.012066205960271758,0.06377163681377146,2.2123211058839796e-05,0.00017954964813879644,0.0004185708305396752
4,03a53ff277b1dc6fb7a6981dcd7bcefc,1146737,859768.09,25.024823477397174,0.46323411921195373,0.03362863418015179,0.0,0.007956781179736298,0.00808253933701875,0.0020587148261624728,0.018375938322116907,0.008117238016261208,0.0046274725455556845,0.002274080717527351,0.0006545676394154473,0.0016923600531220107,0.003733755140028827,6.602885873426022e-07,0.0004587551735483858,0.23509286417167327,0.21001151919714062
5,046337d6ee315bcc9ae6d7a7f2d49ee6,76792,126222.77,64.36968694655694,0.3544485408977289,0.10774686962242846,0.0242610279621036,0.012590711143379913,0.013539684081768004,0.00919099094864461,0.014203698569469524,0.002985937236272356,0.005271324759927282,0.01432010463133284,0.010042907690496561,0.011607858640320299,0.002362741800643666,0.015014998366471282,1.7993662499081273e-07,0.20074021039495343,0.2016722133174341
6,04974892c8437b0bf144b6fcb3a144d1,119798,109901.14,8.261289837893788,0.583705991587808,0.0,0.04664298318459078,0.013402781184451273,0.035937866609342874,0.014664228798960873,0.037771828333395055,0.037612484157305545,0.03972354549510958,0.01784117984965143,0.009644944117715727,0.0142465176256391,0.030802841803590768,0.028230358892748744,0.00021435113743389493,0.0414291571895811,0.048128940032675184
7,04e51735f5ebd1aa9bc85dd1c7c96852,32998,36324.08,10.07964119037518,0.06116199440716466,0.09375485683023659,0.7274610790142789,0.003609451760952369,0.0013848413061073963,0.0012360932453687108,1.8327770379962082e-05,0.0010833621150451377,1.6181230479661794e-05,0.007940059134540165,0.0013260548792223576,0.0024655069418802436,0.0038660971831729844,0.0365710194762553,0.03713051260398255,0.005777450318942517,0.015197111781990546
8,0511e00e94db476eb123d4238569e724,209525,197940.27,5.529044266793943,0.17086881719061742,0.6164369747008267,0.0,0.05280999785287636,0.0084802023903988,0.032640434765946615,0.0007577148648115287,0.010735879734922857,0.06707971085227885,0.00042899699136157075,0.0001324596051854214,0.00030639962751060327,0.001090046583788241,0.0008933536403299638,7.616483433421729e-05,0.019255457721687484,0.01800738864312347
9,0572a115bc082c27835bd97db68245b5,1959061,2100408.9,7.215084165322056,0.3212355941319147,0.3999390401396753,0.003960458402698712,0.03501238413710848,0.001628573253942082,0.009109641076162711,0.018445506424966326,0.0006062551870997611,9.010568905932378e-06,8.517031751955695e-05,0.00019917742160659838,0.023668716724116693,0.023564182849484746,0.0010763512829312489,0.09502567619343745,0.026376262329646877,0.04005799955878282
10,05db8a9e0bda157d737c45072c2d0864,45930,31880.67,30.588569562377533,0.11843637500516731,0.4343350917354617,0.3011176852166203,0.00040410107821115947,0.0034817439054839194,0.009867531552302774,0.03314277139115469,0.004698577463839386,0.005699112902412541,0.006907300142418958,0.004034426268542424,0.0043110400781798605,0.0361278025318389,0.037436440728366153,0.0,0.0,0.0
