asin,sales_channel,country,date,ad_cost_eur,ad_impressions,ad_clicks,ad_attributedconversions7d
17d064ed102e0e8f58072544165a2d99,AMAZON,DE,2021-06-01,2.847,5764.0,24.18,2.0
56a1e5278277da7a0bc6bb9edd2288c1,AMAZON,DE,2021-10-01,2.0294,380.16,11.16,0.0
cc3e3ae6ec053171356fdcce0ccdc5ce,AMAZON,DE,2020-09-01,113.5734,39316.64,159.96,22.0
7d2eaf7117cf5bd8ffb55405fa28dbb6,AMAZON,DE,2020-12-01,11.6946,24719.2,96.72,2.0
87dce4a4dbbac490d3ff580a9799e060,AMAZON,DE,2021-11-01,781.0708,87009.12,1447.0800000000002,150.0
20fb5ec7d0d7eaa7a0b8c72767f429bf,AMAZON,DE,2021-10-01,223.1172,51728.16,293.88,44.0
d467104e49448f471e19630f8edcc272,AMAZON,DE,2020-08-01,379.2496,227191.36000000002,851.88,106.0
c685af0af33fc8f8e80894b91f073f4d,AMAZON,DE,2021-11-01,25.2872,29541.6,161.82000000000002,20.0
9616c930a490039df6f621d86813d4a6,AMAZON,DE,2020-12-01,6.4824,6309.6,20.46,2.0
78db179a858032b907e0adf01f6015df,AMAZON,DE,2021-02-01,8.5994,2062.72,31.62,2.0
6c86f948a58a3451b8888838a1886623,AMAZON,DE,2021-07-01,5.183,1416.8,13.020000000000001,4.0
8f58e0a2430817276e3ae9341f2fe3b8,AMAZON,DE,2021-02-01,1.3723999999999998,3732.96,7.44,0.0
05db8a9e0bda157d737c45072c2d0864,AMAZON,DE,2021-05-01,1045.9877999999999,318032.0,1448.94,90.0
3dda4e4e1dd13c001c540c86950b0c52,AMAZON,DE,2021-05-01,338.44259999999997,120354.08,429.66,48.0
c717d89a2e85eb8d2b0c8120cc07ab61,AMAZON,DE,2021-08-01,13.6364,18793.28,65.10000000000001,2.0
56a1e5278277da7a0bc6bb9edd2288c1,AMAZON,DE,2021-02-01,150.02960000000002,35555.52,598.9200000000001,6.0
42904dcc15937ea7c15ef5f94143c3dc,AMAZON,DE,2020-12-01,173.11219999999997,64159.04,299.46000000000004,4.0
98316538caac652618844699d1ea99f4,AMAZON,DE,2021-06-01,42.559,43998.24,72.54,8.0
cbb745144d03c48caa9ebe457a6dc8f6,AMAZON,DE,2021-01-01,0.7446,3931.84,11.16,0.0
787a211d6f9ed1a104cad631065efb2b,AMAZON,DE,2020-08-01,1.3723999999999998,4979.04,7.44,4.0
890c58d1ab84b69c6e44b10e0696c758,AMAZON,DE,2021-10-01,34.295399999999994,20416.0,59.52,0.0
1265c40fd7e0bf17b02349f43c75d0c4,AMAZON,DE,2021-12-01,62.42959999999999,8356.48,182.28,30.0
3446b726902b8372e73daec7bbeea64f,AMAZON,DE,2021-12-01,1.6643999999999999,1138.72,5.58,0.0
81430954d86b3f6953e1720ceb5ef642,AMAZON,DE,2021-09-01,79.86200000000001,41847.52,85.56,18.0
5c999c89c3a4ea793c9b5cd20b9129ba,AMAZON,DE,2020-10-01,828.0827999999999,623340.96,2334.3,442.0
